"","subregion","count","total_acres"
"1","alameda",32,6387
"2","alpine",2,0
"3","amador",13,6285
"4","butte",66,190702
"5","calaveras",22,2648
"6","colusa",6,459316
"7","contra costa",27,6884
"8","del norte",6,38407
"9","el dorado",37,114411
"10","fresno",57,214411
"11","glenn",8,413201
"12","humboldt",25,22925
"13","imperial",0,0
"14","inyo",12,31884
"15","kern",62,119464
"16","kings",5,54377
"17","lake",49,582784
"18","lassen",36,151797
"19","los angeles",46,194580
"20","madera",36,44505
"21","marin",6,349
"22","mariposa",35,217852
"23","mendocino",28,512712
"24","merced",16,13641
"25","modoc",31,179192
"26","mono",10,35885
"27","monterey",45,156566
"28","napa",25,268948
"29","nevada",17,4201
"30","orange",10,36764
"31","placer",17,37328
"32","plumas",11,63817
"33","riverside",146,97362
"34","sacramento",11,1985
"35","san benito",20,4354
"36","san bernardino",53,90897
"37","san diego",89,65394
"38","san francisco",0,0
"39","san joaquin",8,13351
"40","san luis obispo",64,98757
"41","san mateo",3,153
"42","santa barbara",29,362568
"43","santa clara",39,7544
"44","santa cruz",4,428
"45","shasta",64,448527
"46","sierra",2,915
"47","siskiyou",57,367914
"48","solano",19,61067
"49","sonoma",18,197687
"50","stanislaus",20,11283
"51","sutter",3,2850
"52","tehama",51,51975
"53","trinity",21,481048
"54","tulare",35,94255
"55","tuolumne",22,299132
"56","ventura",30,428304
"57","yolo",12,108681
"58","yuba",14,11910
